['street_traffic-prague-1193-44261.mp4', 'street_traffic']
['shopping_mall-lyon-1196-45197.mp4', 'shopping_mall']
['metro_station-milan-1187-44944.mp4', 'metro_station']
['metro_station-barcelona-229-6890.mp4', 'metro_station']
['public_square-barcelona-248-7393.mp4', 'public_square']
['airport-prague-1173-45299.mp4', 'airport']
['street_traffic-lyon-1220-44637.mp4', 'street_traffic']
['airport-prague-1173-45336.mp4', 'airport']
['shopping_mall-prague-1219-44685.mp4', 'shopping_mall']
['park-lisbon-1198-44951.mp4', 'park']
['bus-lisbon-1223-44799.mp4', 'bus']
['park-prague-1185-44203.mp4', 'park']
['metro-lyon-1201-44437.mp4', 'metro']
['shopping_mall-milan-1183-45453.mp4', 'shopping_mall']
['airport-lyon-1169-45560.mp4', 'airport']
['tram-lyon-1216-45269.mp4', 'tram']
['public_square-prague-1214-45047.mp4', 'public_square']
['tram-prague-1184-45105.mp4', 'tram']
['park-lyon-1188-44885.mp4', 'park']
['park-lyon-1188-45633.mp4', 'park']
['street_traffic-lyon-1220-45329.mp4', 'street_traffic']
['metro-prague-1204-44777.mp4', 'metro']
['park-lyon-1188-44908.mp4', 'park']
['street_pedestrian-milan-1165-44411.mp4', 'street_pedestrian']
['park-milan-1164-44304.mp4', 'park']
['airport-lyon-1169-45628.mp4', 'airport']
['street_pedestrian-lisbon-1174-44128.mp4', 'street_pedestrian']
['shopping_mall-prague-1219-45328.mp4', 'shopping_mall']
['metro_station-lyon-1179-44301.mp4', 'metro_station']
['tram-milan-1222-44558.mp4', 'tram']
['public_square-prague-1192-45748.mp4', 'public_square']
['bus-milan-1190-44209.mp4', 'bus']
['tram-lyon-1225-45021.mp4', 'tram']
['metro_station-lyon-1179-45024.mp4', 'metro_station']
['street_traffic-milan-1166-44826.mp4', 'street_traffic']
['public_square-lisbon-1211-45303.mp4', 'public_square']
['tram-milan-1222-45317.mp4', 'tram']
['metro-prague-1204-45660.mp4', 'metro']
['shopping_mall-prague-1219-45526.mp4', 'shopping_mall']
['airport-prague-1173-45485.mp4', 'airport']
['park-barcelona-241-7152.mp4', 'park']
['airport-prague-1173-44104.mp4', 'airport']
['tram-lisbon-1191-45009.mp4', 'tram']
['shopping_mall-lisbon-1176-45025.mp4', 'shopping_mall']
['bus-lyon-1186-44122.mp4', 'bus']
['street_traffic-lisbon-1171-44671.mp4', 'street_traffic']
['street_pedestrian-barcelona-260-7902.mp4', 'street_pedestrian']
['park-milan-1164-44847.mp4', 'park']
['tram-lyon-1225-45003.mp4', 'tram']
['shopping_mall-lisbon-1176-44342.mp4', 'shopping_mall']
['tram-lisbon-1200-44769.mp4', 'tram']
['park-lyon-1188-44385.mp4', 'park']
['metro-lisbon-1199-45240.mp4', 'metro']
['bus-milan-1190-44543.mp4', 'bus']
['public_square-prague-1192-44645.mp4', 'public_square']
['bus-milan-1180-44189.mp4', 'bus']
['street_traffic-lyon-1220-45696.mp4', 'street_traffic']
['bus-lisbon-1212-44406.mp4', 'bus']
['airport-lisbon-1175-44233.mp4', 'airport']
['public_square-lisbon-1211-44566.mp4', 'public_square']
['shopping_mall-barcelona-254-7610.mp4', 'shopping_mall']
['shopping_mall-lyon-1196-45385.mp4', 'shopping_mall']
['park-lisbon-1198-44644.mp4', 'park']
['airport-lyon-1169-44348.mp4', 'airport']
['street_traffic-lyon-1220-44830.mp4', 'street_traffic']
['airport-lyon-1169-44434.mp4', 'airport']
['metro-lyon-1181-45374.mp4', 'metro']
['street_traffic-barcelona-268-8157.mp4', 'street_traffic']
['tram-prague-1210-44345.mp4', 'tram']
['bus-prague-1215-44335.mp4', 'bus']
['street_pedestrian-prague-1227-44838.mp4', 'street_pedestrian']
['street_traffic-lyon-1220-45086.mp4', 'street_traffic']
['shopping_mall-lyon-1196-45196.mp4', 'shopping_mall']
['tram-lisbon-1191-45571.mp4', 'tram']
['bus-lisbon-1226-45496.mp4', 'bus']
['airport-milan-1172-45082.mp4', 'airport']
['street_traffic-helsinki-269-8171.mp4', 'street_traffic']
['metro_station-lyon-1167-44098.mp4', 'metro_station']
['street_traffic-prague-1193-45589.mp4', 'street_traffic']
['metro-milan-1218-45486.mp4', 'metro']
['public_square-lisbon-1211-44515.mp4', 'public_square']
['bus-lyon-1177-44874.mp4', 'bus']
['street_pedestrian-prague-1227-45101.mp4', 'street_pedestrian']
['shopping_mall-prague-1219-45431.mp4', 'shopping_mall']
['park-milan-1164-45372.mp4', 'park']
['street_pedestrian-milan-1205-45565.mp4', 'street_pedestrian']
['metro_station-barcelona-229-6900.mp4', 'metro_station']
['shopping_mall-barcelona-254-7624.mp4', 'shopping_mall']
['bus-milan-1180-45221.mp4', 'bus']
['airport-lyon-1169-44321.mp4', 'airport']
['street_traffic-prague-1193-45604.mp4', 'street_traffic']
['street_pedestrian-lisbon-1174-44834.mp4', 'street_pedestrian']
['bus-milan-1190-44132.mp4', 'bus']
['shopping_mall-lisbon-1176-45495.mp4', 'shopping_mall']
['tram-lyon-1216-45401.mp4', 'tram']
['airport-prague-1195-45537.mp4', 'airport']
['park-prague-1185-45741.mp4', 'park']
['street_pedestrian-lyon-1162-45671.mp4', 'street_pedestrian']
['public_square-lyon-1178-44474.mp4', 'public_square']
['park-lyon-1188-44686.mp4', 'park']
['public_square-lyon-1208-44211.mp4', 'public_square']
['shopping_mall-milan-1183-44741.mp4', 'shopping_mall']
['bus-milan-1190-44489.mp4', 'bus']
['public_square-milan-1168-44458.mp4', 'public_square']
['metro_station-lyon-1167-44154.mp4', 'metro_station']
['tram-milan-1182-45217.mp4', 'tram']
['public_square-barcelona-248-7394.mp4', 'public_square']
['tram-prague-1184-44119.mp4', 'tram']
['bus-lyon-1177-44178.mp4', 'bus']
['shopping_mall-milan-1183-45461.mp4', 'shopping_mall']
['bus-milan-1180-45390.mp4', 'bus']
['tram-milan-1222-44502.mp4', 'tram']
['metro-milan-1197-45204.mp4', 'metro']
['shopping_mall-lyon-1196-45194.mp4', 'shopping_mall']
['public_square-lisbon-1211-45419.mp4', 'public_square']
['metro-lyon-1201-45360.mp4', 'metro']
['park-barcelona-241-7174.mp4', 'park']
['park-milan-1164-44861.mp4', 'park']
['street_traffic-barcelona-268-8138.mp4', 'street_traffic']
['metro-lyon-1181-45112.mp4', 'metro']
['metro_station-lyon-1179-45698.mp4', 'metro_station']
['airport-milan-1172-45327.mp4', 'airport']
['metro_station-lisbon-1221-45103.mp4', 'metro_station']
['public_square-prague-1214-44539.mp4', 'public_square']
['tram-milan-1182-45383.mp4', 'tram']
['bus-milan-1190-45603.mp4', 'bus']
['shopping_mall-lisbon-1176-44623.mp4', 'shopping_mall']
['street_pedestrian-lyon-1162-44937.mp4', 'street_pedestrian']
['street_traffic-lisbon-1171-44663.mp4', 'street_traffic']
['metro_station-barcelona-229-6905.mp4', 'metro_station']
['public_square-prague-1214-44739.mp4', 'public_square']
['metro_station-lyon-1179-44157.mp4', 'metro_station']
['airport-lisbon-1175-45362.mp4', 'airport']
['airport-lyon-1169-44279.mp4', 'airport']
['tram-lisbon-1191-44840.mp4', 'tram']
['public_square-barcelona-248-7399.mp4', 'public_square']
['park-prague-1185-45595.mp4', 'park']
['shopping_mall-prague-1219-45209.mp4', 'shopping_mall']
['public_square-prague-1214-44327.mp4', 'public_square']
['metro_station-prague-1170-44316.mp4', 'metro_station']
['street_traffic-milan-1202-44979.mp4', 'street_traffic']
['street_pedestrian-lisbon-1174-44779.mp4', 'street_pedestrian']
['park-lisbon-1198-44882.mp4', 'park']
['tram-prague-1189-44992.mp4', 'tram']
['shopping_mall-prague-1219-45097.mp4', 'shopping_mall']
['street_pedestrian-lisbon-1174-44987.mp4', 'street_pedestrian']
['metro-lisbon-1199-44865.mp4', 'metro']
['metro-barcelona-220-6633.mp4', 'metro']
['metro_station-prague-1170-44822.mp4', 'metro_station']
['metro-milan-1197-45069.mp4', 'metro']
['bus-milan-1190-45146.mp4', 'bus']
['street_traffic-milan-1166-44444.mp4', 'street_traffic']
['metro-lisbon-1199-45684.mp4', 'metro']
['shopping_mall-lisbon-1176-44338.mp4', 'shopping_mall']
['metro-milan-1218-44863.mp4', 'metro']
['street_traffic-prague-1193-45483.mp4', 'street_traffic']
['park-barcelona-241-7154.mp4', 'park']
['bus-lisbon-1223-44593.mp4', 'bus']
['airport-prague-1173-44812.mp4', 'airport']
['park-milan-1164-44121.mp4', 'park']
['street_traffic-barcelona-268-8142.mp4', 'street_traffic']
['tram-prague-1184-44866.mp4', 'tram']
['public_square-barcelona-248-7407.mp4', 'public_square']
['street_traffic-barcelona-268-8165.mp4', 'street_traffic']
['metro_station-milan-1187-44860.mp4', 'metro_station']
['street_pedestrian-lyon-1162-44194.mp4', 'street_pedestrian']
['public_square-lisbon-1211-45514.mp4', 'public_square']
['shopping_mall-barcelona-254-7636.mp4', 'shopping_mall']
['metro_station-prague-1170-45098.mp4', 'metro_station']
['airport-lyon-1169-45296.mp4', 'airport']
['public_square-lyon-1208-45647.mp4', 'public_square']
['metro-lyon-1206-44814.mp4', 'metro']
['bus-lyon-1177-44264.mp4', 'bus']
['metro-milan-1218-44438.mp4', 'metro']
['tram-lyon-1225-44550.mp4', 'tram']
['street_pedestrian-milan-1165-44151.mp4', 'street_pedestrian']
['shopping_mall-milan-1183-44894.mp4', 'shopping_mall']
['street_pedestrian-lisbon-1174-45142.mp4', 'street_pedestrian']
['public_square-prague-1214-44788.mp4', 'public_square']
['street_pedestrian-barcelona-261-7907.mp4', 'street_pedestrian']
['shopping_mall-lyon-1196-44563.mp4', 'shopping_mall']
['public_square-lyon-1178-44197.mp4', 'public_square']
['metro_station-lyon-1167-45465.mp4', 'metro_station']
['bus-lyon-1186-45046.mp4', 'bus']
['metro-lyon-1206-44940.mp4', 'metro']
['metro_station-barcelona-229-6891.mp4', 'metro_station']
['metro-barcelona-220-6636.mp4', 'metro']
['bus-lyon-1186-44536.mp4', 'bus']
['tram-lisbon-1200-45287.mp4', 'tram']
['shopping_mall-prague-1219-45503.mp4', 'shopping_mall']
['metro_station-lisbon-1221-44560.mp4', 'metro_station']
['bus-milan-1180-44115.mp4', 'bus']
['metro_station-milan-1187-44224.mp4', 'metro_station']
['tram-milan-1222-44496.mp4', 'tram']
['park-milan-1164-45425.mp4', 'park']
['park-milan-1164-45705.mp4', 'park']
['metro_station-barcelona-229-6892.mp4', 'metro_station']
['park-lyon-1188-44323.mp4', 'park']
['airport-milan-1172-45261.mp4', 'airport']
['metro_station-lisbon-1221-45262.mp4', 'metro_station']
['metro-lyon-1181-44331.mp4', 'metro']
['street_pedestrian-barcelona-261-7912.mp4', 'street_pedestrian']
['street_traffic-barcelona-268-8155.mp4', 'street_traffic']
['shopping_mall-prague-1219-44594.mp4', 'shopping_mall']
['park-lyon-1188-44613.mp4', 'park']
['street_pedestrian-barcelona-261-7913.mp4', 'street_pedestrian']
['shopping_mall-lyon-1196-45191.mp4', 'shopping_mall']
['metro_station-prague-1170-44983.mp4', 'metro_station']
['bus-lisbon-1223-45639.mp4', 'bus']
['airport-lisbon-1175-45357.mp4', 'airport']
['bus-lisbon-1212-44206.mp4', 'bus']
['airport-milan-1172-44409.mp4', 'airport']
['metro-milan-1197-45231.mp4', 'metro']
['bus-lisbon-1226-44523.mp4', 'bus']
['shopping_mall-barcelona-254-7608.mp4', 'shopping_mall']
['street_traffic-barcelona-268-8154.mp4', 'street_traffic']
['airport-lisbon-1175-45070.mp4', 'airport']
['bus-lyon-1177-45528.mp4', 'bus']
['tram-prague-1210-45175.mp4', 'tram']
['street_pedestrian-prague-1203-45723.mp4', 'street_pedestrian']
['public_square-milan-1168-44878.mp4', 'public_square']
['street_pedestrian-lisbon-1174-44556.mp4', 'street_pedestrian']
['street_traffic-milan-1166-44341.mp4', 'street_traffic']
['park-lyon-1188-45373.mp4', 'park']
['metro-prague-1213-45266.mp4', 'metro']
['public_square-barcelona-248-7411.mp4', 'public_square']
['park-helsinki-242-7188.mp4', 'park']
['metro-lisbon-1217-45102.mp4', 'metro']
['metro_station-lisbon-1221-44835.mp4', 'metro_station']
['metro_station-lyon-1179-45727.mp4', 'metro_station']
['shopping_mall-prague-1219-44839.mp4', 'shopping_mall']
['metro_station-prague-1170-45577.mp4', 'metro_station']
['airport-lisbon-1175-44791.mp4', 'airport']
['metro_station-lyon-1167-45030.mp4', 'metro_station']
['street_traffic-lisbon-1171-45501.mp4', 'street_traffic']
['metro_station-barcelona-229-6902.mp4', 'metro_station']
['public_square-lyon-1178-44743.mp4', 'public_square']
['metro-milan-1197-45145.mp4', 'metro']
['shopping_mall-lyon-1196-45110.mp4', 'shopping_mall']
['airport-prague-1195-44947.mp4', 'airport']
['shopping_mall-lyon-1196-45621.mp4', 'shopping_mall']
['park-barcelona-241-7151.mp4', 'park']
['metro_station-lyon-1167-45525.mp4', 'metro_station']
['public_square-prague-1192-45134.mp4', 'public_square']
['metro-lyon-1206-44172.mp4', 'metro']
['street_traffic-prague-1193-45506.mp4', 'street_traffic']
['bus-lyon-1177-44753.mp4', 'bus']
['airport-milan-1172-45225.mp4', 'airport']
['public_square-milan-1168-45667.mp4', 'public_square']
['metro-lyon-1181-44862.mp4', 'metro']
['shopping_mall-lisbon-1176-44249.mp4', 'shopping_mall']
['park-lyon-1188-45468.mp4', 'park']
['metro_station-prague-1170-44897.mp4', 'metro_station']
['park-helsinki-242-7196.mp4', 'park']
['airport-milan-1172-45320.mp4', 'airport']
['street_pedestrian-barcelona-261-7909.mp4', 'street_pedestrian']
['metro-lyon-1206-44953.mp4', 'metro']
['metro-lisbon-1199-44306.mp4', 'metro']
['metro_station-lyon-1167-45447.mp4', 'metro_station']
['street_traffic-lisbon-1171-45443.mp4', 'street_traffic']
['street_pedestrian-milan-1165-44977.mp4', 'street_pedestrian']
['metro_station-milan-1187-44654.mp4', 'metro_station']
['park-lyon-1188-45010.mp4', 'park']
['metro_station-barcelona-229-6899.mp4', 'metro_station']
['street_traffic-milan-1166-45422.mp4', 'street_traffic']
['metro-lyon-1181-44891.mp4', 'metro']
['park-prague-1185-44187.mp4', 'park']
['metro-prague-1213-44982.mp4', 'metro']
['tram-prague-1184-45189.mp4', 'tram']
['public_square-milan-1168-44732.mp4', 'public_square']
['shopping_mall-lyon-1196-45609.mp4', 'shopping_mall']
['street_traffic-prague-1193-45404.mp4', 'street_traffic']
['metro-lyon-1201-44530.mp4', 'metro']
['public_square-lyon-1208-44382.mp4', 'public_square']
['shopping_mall-lyon-1196-44488.mp4', 'shopping_mall']
['airport-lyon-1169-45129.mp4', 'airport']
['metro_station-lyon-1167-44554.mp4', 'metro_station']
['metro_station-lyon-1179-44181.mp4', 'metro_station']
['bus-lisbon-1223-44695.mp4', 'bus']
['public_square-milan-1168-44641.mp4', 'public_square']
['street_pedestrian-prague-1203-45358.mp4', 'street_pedestrian']
['public_square-lyon-1208-44487.mp4', 'public_square']
['shopping_mall-milan-1183-45616.mp4', 'shopping_mall']
['street_traffic-barcelona-268-8158.mp4', 'street_traffic']
['metro-prague-1163-44148.mp4', 'metro']
['street_traffic-milan-1202-44384.mp4', 'street_traffic']
['park-barcelona-241-7166.mp4', 'park']
['airport-prague-1195-45109.mp4', 'airport']
['street_traffic-lyon-1220-45699.mp4', 'street_traffic']
['street_traffic-barcelona-268-8137.mp4', 'street_traffic']
['shopping_mall-barcelona-254-7617.mp4', 'shopping_mall']
['bus-lisbon-1212-45080.mp4', 'bus']
['tram-lyon-1225-44907.mp4', 'tram']
['bus-prague-1207-45476.mp4', 'bus']
['airport-lyon-1169-44227.mp4', 'airport']
['street_pedestrian-milan-1165-44660.mp4', 'street_pedestrian']
['metro-lyon-1206-45148.mp4', 'metro']
['park-prague-1185-44659.mp4', 'park']
['street_pedestrian-lisbon-1174-44105.mp4', 'street_pedestrian']
['street_traffic-lyon-1220-44633.mp4', 'street_traffic']
['metro_station-milan-1187-45414.mp4', 'metro_station']
['metro-lisbon-1224-44688.mp4', 'metro']
['park-lisbon-1198-45301.mp4', 'park']
['street_traffic-prague-1193-44163.mp4', 'street_traffic']
['park-barcelona-241-7183.mp4', 'park']
['airport-lyon-1169-44981.mp4', 'airport']
['street_traffic-lisbon-1171-45347.mp4', 'street_traffic']
['street_traffic-prague-1193-44801.mp4', 'street_traffic']
['bus-milan-1180-44684.mp4', 'bus']
['metro_station-milan-1187-44597.mp4', 'metro_station']
['park-milan-1164-45255.mp4', 'park']
['street_pedestrian-barcelona-261-7908.mp4', 'street_pedestrian']
['shopping_mall-lyon-1196-45417.mp4', 'shopping_mall']
['street_pedestrian-prague-1203-44208.mp4', 'street_pedestrian']
['tram-lyon-1216-44254.mp4', 'tram']
['street_pedestrian-prague-1227-44793.mp4', 'street_pedestrian']
['park-lyon-1188-45736.mp4', 'park']
['bus-milan-1180-44182.mp4', 'bus']
['metro_station-lyon-1167-44748.mp4', 'metro_station']
['airport-milan-1172-44768.mp4', 'airport']
['park-lisbon-1198-44170.mp4', 'park']
['street_pedestrian-prague-1227-45713.mp4', 'street_pedestrian']
['park-prague-1185-44362.mp4', 'park']
['shopping_mall-milan-1183-45567.mp4', 'shopping_mall']
['tram-lisbon-1200-45337.mp4', 'tram']
['park-prague-1185-45578.mp4', 'park']
['metro-lisbon-1224-45583.mp4', 'metro']
['metro-milan-1218-45027.mp4', 'metro']
['street_traffic-lisbon-1171-44896.mp4', 'street_traffic']
['street_pedestrian-barcelona-260-7905.mp4', 'street_pedestrian']
['metro_station-lyon-1167-44831.mp4', 'metro_station']
['street_traffic-milan-1166-44275.mp4', 'street_traffic']
['shopping_mall-lyon-1196-45343.mp4', 'shopping_mall']
['street_traffic-lisbon-1171-45055.mp4', 'street_traffic']
['metro_station-milan-1187-44517.mp4', 'metro_station']
['street_traffic-prague-1193-45237.mp4', 'street_traffic']
['metro_station-prague-1170-45391.mp4', 'metro_station']
['street_pedestrian-prague-1227-45403.mp4', 'street_pedestrian']
['park-lisbon-1198-44245.mp4', 'park']
['shopping_mall-lyon-1196-44821.mp4', 'shopping_mall']
['airport-lyon-1169-44330.mp4', 'airport']
['shopping_mall-milan-1183-44405.mp4', 'shopping_mall']
['park-barcelona-241-7161.mp4', 'park']
['bus-milan-1190-44511.mp4', 'bus']
['metro_station-lyon-1167-45515.mp4', 'metro_station']
['street_pedestrian-milan-1165-45284.mp4', 'street_pedestrian']
['street_traffic-milan-1202-44584.mp4', 'street_traffic']
['tram-lyon-1216-44712.mp4', 'tram']
['public_square-milan-1168-44859.mp4', 'public_square']
['tram-lyon-1225-45181.mp4', 'tram']
['shopping_mall-lisbon-1176-45114.mp4', 'shopping_mall']
['street_traffic-lisbon-1171-44790.mp4', 'street_traffic']
['bus-lisbon-1226-44607.mp4', 'bus']
['park-lyon-1188-45758.mp4', 'park']
['airport-lisbon-1175-45127.mp4', 'airport']
['street_traffic-lisbon-1171-44704.mp4', 'street_traffic']
['metro_station-prague-1170-44725.mp4', 'metro_station']
['shopping_mall-milan-1183-45160.mp4', 'shopping_mall']
['park-milan-1164-45093.mp4', 'park']
['shopping_mall-barcelona-254-7620.mp4', 'shopping_mall']
['street_pedestrian-lisbon-1174-45459.mp4', 'street_pedestrian']
['shopping_mall-barcelona-254-7611.mp4', 'shopping_mall']
['park-milan-1164-45712.mp4', 'park']
['shopping_mall-lyon-1196-44315.mp4', 'shopping_mall']
['street_pedestrian-lisbon-1174-45703.mp4', 'street_pedestrian']
['shopping_mall-lyon-1196-45359.mp4', 'shopping_mall']
['tram-lyon-1225-45553.mp4', 'tram']
['shopping_mall-milan-1183-44223.mp4', 'shopping_mall']
['airport-milan-1172-45214.mp4', 'airport']
['street_traffic-milan-1166-44772.mp4', 'street_traffic']
['public_square-prague-1192-45558.mp4', 'public_square']
['public_square-milan-1168-45656.mp4', 'public_square']
['metro-milan-1197-44929.mp4', 'metro']
['public_square-prague-1192-45658.mp4', 'public_square']
['bus-prague-1194-45091.mp4', 'bus']
['public_square-barcelona-248-7402.mp4', 'public_square']
['park-barcelona-241-7180.mp4', 'park']
['public_square-prague-1214-44415.mp4', 'public_square']
['bus-lyon-1186-44140.mp4', 'bus']
['metro-lyon-1206-44595.mp4', 'metro']
['metro_station-lisbon-1221-44313.mp4', 'metro_station']
['metro-lisbon-1224-45051.mp4', 'metro']
['metro_station-prague-1170-45482.mp4', 'metro_station']
['airport-lyon-1169-44782.mp4', 'airport']
['public_square-lyon-1208-44832.mp4', 'public_square']
['park-helsinki-242-7189.mp4', 'park']
['tram-lyon-1216-44958.mp4', 'tram']
['public_square-lyon-1208-44833.mp4', 'public_square']
['bus-prague-1207-45210.mp4', 'bus']
['park-barcelona-241-7157.mp4', 'park']
['tram-lisbon-1191-44722.mp4', 'tram']
['metro-prague-1213-44806.mp4', 'metro']
['bus-lisbon-1226-45100.mp4', 'bus']
['park-prague-1185-45549.mp4', 'park']
['street_traffic-lyon-1220-44332.mp4', 'street_traffic']
['street_traffic-lyon-1220-44467.mp4', 'street_traffic']
['public_square-prague-1192-45361.mp4', 'public_square']
['metro_station-prague-1170-44553.mp4', 'metro_station']
['street_traffic-prague-1193-45445.mp4', 'street_traffic']
['metro-prague-1204-44165.mp4', 'metro']
['bus-prague-1194-44618.mp4', 'bus']
['park-barcelona-241-7170.mp4', 'park']
['street_pedestrian-lyon-1162-44130.mp4', 'street_pedestrian']
['tram-lyon-1225-44798.mp4', 'tram']
['shopping_mall-prague-1219-45744.mp4', 'shopping_mall']
['metro-barcelona-220-6631.mp4', 'metro']
['tram-prague-1210-45507.mp4', 'tram']
['metro-lisbon-1217-44679.mp4', 'metro']
['public_square-prague-1214-44475.mp4', 'public_square']
['park-lyon-1188-44569.mp4', 'park']
['metro_station-milan-1187-44177.mp4', 'metro_station']
['shopping_mall-prague-1219-45064.mp4', 'shopping_mall']
['metro_station-lyon-1167-45107.mp4', 'metro_station']
['public_square-lyon-1208-44781.mp4', 'public_square']
['street_pedestrian-lisbon-1174-45229.mp4', 'street_pedestrian']
['public_square-lisbon-1211-44868.mp4', 'public_square']
['bus-lyon-1186-44689.mp4', 'bus']
['airport-milan-1172-44687.mp4', 'airport']
['park-prague-1185-44295.mp4', 'park']
['metro-prague-1213-45179.mp4', 'metro']
['public_square-lyon-1178-44110.mp4', 'public_square']
['park-barcelona-241-7162.mp4', 'park']
['shopping_mall-lyon-1196-45470.mp4', 'shopping_mall']
['tram-milan-1209-45458.mp4', 'tram']
['street_pedestrian-lyon-1162-45750.mp4', 'street_pedestrian']
['tram-milan-1222-44914.mp4', 'tram']
['street_pedestrian-milan-1205-45353.mp4', 'street_pedestrian']
['metro_station-prague-1170-44101.mp4', 'metro_station']
['bus-lyon-1186-44336.mp4', 'bus']
['metro_station-lisbon-1221-44710.mp4', 'metro_station']
['street_traffic-milan-1166-44809.mp4', 'street_traffic']
['park-lyon-1188-45227.mp4', 'park']
['airport-prague-1173-44620.mp4', 'airport']
['metro-prague-1213-45473.mp4', 'metro']
['public_square-prague-1192-45104.mp4', 'public_square']
['public_square-lyon-1208-45044.mp4', 'public_square']
['metro_station-lyon-1167-45281.mp4', 'metro_station']
['shopping_mall-prague-1219-44935.mp4', 'shopping_mall']
['bus-lisbon-1226-45035.mp4', 'bus']
['public_square-milan-1168-44828.mp4', 'public_square']
['shopping_mall-lyon-1196-45072.mp4', 'shopping_mall']
['metro-lisbon-1199-44282.mp4', 'metro']
['airport-prague-1173-45405.mp4', 'airport']
['metro-prague-1204-44424.mp4', 'metro']
['tram-lyon-1225-44737.mp4', 'tram']
['shopping_mall-prague-1219-44503.mp4', 'shopping_mall']
['metro-milan-1218-45366.mp4', 'metro']
['street_pedestrian-milan-1205-44546.mp4', 'street_pedestrian']
['public_square-lyon-1178-45608.mp4', 'public_square']
['shopping_mall-lyon-1196-45625.mp4', 'shopping_mall']
['public_square-lyon-1208-45737.mp4', 'public_square']
['tram-lisbon-1191-44398.mp4', 'tram']
['metro_station-lisbon-1221-45620.mp4', 'metro_station']
['bus-lisbon-1223-44429.mp4', 'bus']
['metro_station-lisbon-1221-45331.mp4', 'metro_station']
['metro_station-milan-1187-44677.mp4', 'metro_station']
['bus-prague-1194-45352.mp4', 'bus']
['airport-lyon-1169-45185.mp4', 'airport']
['street_traffic-lyon-1220-45243.mp4', 'street_traffic']
['public_square-milan-1168-45180.mp4', 'public_square']
['tram-prague-1210-44846.mp4', 'tram']
['public_square-lyon-1178-45363.mp4', 'public_square']
['metro_station-prague-1170-45163.mp4', 'metro_station']
['public_square-barcelona-248-7404.mp4', 'public_square']
['street_pedestrian-milan-1205-44943.mp4', 'street_pedestrian']
['metro-lyon-1206-44713.mp4', 'metro']
['street_pedestrian-milan-1205-44709.mp4', 'street_pedestrian']
['bus-lisbon-1223-44619.mp4', 'bus']
['street_traffic-prague-1193-44392.mp4', 'street_traffic']
['street_pedestrian-lisbon-1174-44627.mp4', 'street_pedestrian']
['shopping_mall-prague-1219-44298.mp4', 'shopping_mall']
['tram-lisbon-1200-44960.mp4', 'tram']
['shopping_mall-milan-1183-44118.mp4', 'shopping_mall']
['airport-lyon-1169-44283.mp4', 'airport']
['shopping_mall-lyon-1196-44422.mp4', 'shopping_mall']
['street_pedestrian-prague-1203-44804.mp4', 'street_pedestrian']
['public_square-milan-1168-44216.mp4', 'public_square']
['street_pedestrian-prague-1203-45268.mp4', 'street_pedestrian']
['metro-lyon-1206-45406.mp4', 'metro']
['street_pedestrian-barcelona-260-7904.mp4', 'street_pedestrian']
['street_traffic-milan-1202-45137.mp4', 'street_traffic']
['park-barcelona-241-7175.mp4', 'park']
['public_square-lyon-1178-45580.mp4', 'public_square']
['public_square-lisbon-1211-45324.mp4', 'public_square']
['street_pedestrian-lyon-1162-44093.mp4', 'street_pedestrian']
['shopping_mall-lyon-1196-44724.mp4', 'shopping_mall']
['public_square-milan-1168-45435.mp4', 'public_square']
['airport-milan-1172-44376.mp4', 'airport']
['street_traffic-milan-1166-44715.mp4', 'street_traffic']
['tram-lisbon-1191-44547.mp4', 'tram']
['street_pedestrian-lyon-1162-45745.mp4', 'street_pedestrian']
['metro_station-milan-1187-44792.mp4', 'metro_station']
['shopping_mall-lisbon-1176-45140.mp4', 'shopping_mall']
['airport-lyon-1169-44430.mp4', 'airport']
['street_pedestrian-prague-1227-44711.mp4', 'street_pedestrian']
['street_pedestrian-prague-1203-45726.mp4', 'street_pedestrian']
['tram-lisbon-1200-44850.mp4', 'tram']
['public_square-barcelona-248-7395.mp4', 'public_square']
['shopping_mall-barcelona-254-7622.mp4', 'shopping_mall']
['street_traffic-milan-1166-44571.mp4', 'street_traffic']
['bus-milan-1180-44419.mp4', 'bus']
['metro-lyon-1201-44196.mp4', 'metro']
['street_pedestrian-lisbon-1174-45688.mp4', 'street_pedestrian']
['metro-milan-1197-44299.mp4', 'metro']
['tram-lisbon-1191-44959.mp4', 'tram']
['street_traffic-prague-1193-45211.mp4', 'street_traffic']
['street_pedestrian-barcelona-260-7893.mp4', 'street_pedestrian']
['street_traffic-barcelona-268-8139.mp4', 'street_traffic']
['street_pedestrian-prague-1203-45330.mp4', 'street_pedestrian']
['street_pedestrian-lyon-1162-44879.mp4', 'street_pedestrian']
['airport-milan-1172-45165.mp4', 'airport']
['shopping_mall-barcelona-254-7621.mp4', 'shopping_mall']
['street_pedestrian-lisbon-1174-45511.mp4', 'street_pedestrian']
['public_square-lyon-1178-44495.mp4', 'public_square']
['airport-lisbon-1175-44703.mp4', 'airport']
['bus-prague-1215-45332.mp4', 'bus']
['shopping_mall-lisbon-1176-45740.mp4', 'shopping_mall']
['shopping_mall-prague-1219-45410.mp4', 'shopping_mall']
['street_pedestrian-milan-1165-45655.mp4', 'street_pedestrian']
['shopping_mall-prague-1219-44349.mp4', 'shopping_mall']
['street_traffic-milan-1202-44626.mp4', 'street_traffic']
